route_id,stop_sequence,stop_name,community,node_id,stop_lat,stop_lon,location_type,location_precision
bus:flixbus-seattle,4,Everett WA,Everett WA,everett-wa,47.979,-122.2021,town,stop
bus:flixbus-seattle,5,Seattle WA,Seattle WA,seattle-downtown-wa,47.6062,-122.3321,town,stop
bus:fvx-66,1,Downtown Chilliwack,Chilliwack,chilliwack,49.157778,-121.950833,town,community centroid
bus:fvx-66,2,Abbotsford (Highstreet Mall),Abbotsford,abbotsford,49.049808,-122.284595,town,community centroid
bus:fvx-66,3,Carvolth Exchange,Langley,carvolth,49.16078,-122.66032,dock,stop
bus:fvx-66,4,Lougheed Town Centre Station,Burnaby,lougheed-town-centre,49.24743,-122.89457,dock,stop
bus:il-island,1,Nanaimo,Nanaimo,nanaimo,49.163889,-123.938056,town,stop
bus:il-island,2,Courtenay Exchange,Courtenay,courtenay-exchange,49.6919376,-124.998225,town,stop
bus:il-island,3,Campbell River,Campbell River,campbell-river,50.023056,-125.243611,town,community centroid
bus:il-tofino,1,Nanaimo,Nanaimo,nanaimo,49.163889,-123.938056,town,stop
bus:il-tofino,2,Port Alberni,Port Alberni,port-alberni,49.2339,-124.8055,town,stop
bus:il-tofino,3,Ucluelet Medical Centre,Ucluelet,ucluelet-medical-centre,48.94615,-125.56382,dock,stop
bus:il-tofino,4,Tofino (1st Street),Tofino,1st-street,49.1535,-125.9013,town,stop
bus:il-victoria,1,Victoria,Victoria,victoria,48.42771,-123.36446,town,stop
bus:il-victoria,2,Nanaimo,Nanaimo,nanaimo,49.163889,-123.938056,town,stop
bus:mmm-calgary,1,Kaslo,Kaslo,kaslo,49.910556,-116.905,town,community centroid
bus:mmm-calgary,2,Balfour,Balfour,balfour,49.625575,-116.968009,town,community centroid
bus:mmm-calgary,3,Nelson,Nelson,nelson,49.49047,-117.29541,town,stop
bus:mmm-calgary,4,Salmo,Salmo,salmo,49.193333,-117.278611,town,community centroid
bus:mmm-calgary,5,Creston,Creston,creston,49.0975,-116.513056,town,community centroid
bus:mmm-calgary,6,Cranbrook,Cranbrook,cranbrook,49.508056,-115.746944,town,community centroid
bus:mmm-calgary,7,Fernie,Fernie,fernie,49.504167,-115.062778,town,community centroid
bus:mmm-calgary,8,Sparwood,Sparwood,sparwood,49.733218,-114.884368,town,community centroid
bus:mmm-calgary,9,Pincher Creek AB,Pincher Creek AB,pincher-creek-ab,49.4875,-113.9541,town,stop
bus:mmm-calgary,10,Fort Macleod AB,Fort Macleod AB,fort-macleod-ab,49.7166,-113.4116,town,stop
bus:mmm-calgary,11,Claresholm AB,Claresholm AB,claresholm-ab,50.0264,-113.5836,town,stop
bus:mmm-calgary,12,High River AB,High River AB,high-river-ab,50.5808,-113.8746,town,stop
bus:mmm-calgary,13,Okotoks AB,Okotoks AB,okotoks-ab,50.7256,-113.9749,town,stop
bus:mmm-calgary,14,Calgary AB,Calgary AB,calgary-ab,51.0447,-114.0719,town,stop
bus:quick-seattle,1,Vancouver Waterfront Station,Vancouver Waterfront Station,waterfront,49.28591,-123.11151,town,stop
bus:quick-seattle,2,Vancouver Canada Place,Vancouver Canada Place,waterfront,49.28591,-123.11151,town,stop
bus:quick-seattle,3,Richmond River Rock,Richmond River Rock,richmond-river-rock,49.1948,-123.136,town,stop
bus:quick-seattle,4,Surrey,Surrey,surrey,49.191634,-122.850061,town,community centroid
bus:quick-seattle,5,Bellingham Airport WA,Bellingham Airport WA,bellingham-airport-wa,48.7927,-122.5375,town,stop
bus:quick-seattle,6,Tulalip WA,Tulalip WA,tulalip-wa,48.0607,-122.2846,town,stop
bus:quick-seattle,7,Seattle Downtown WA,Seattle Downtown WA,seattle-downtown-wa,47.6062,-122.3321,town,stop
bus:quick-seattle,8,Seattle SeaTac Airport WA,Seattle SeaTac Airport WA,seattle-seatac-airport-wa,47.4502,-122.3088,town,stop
bus:rider-calgary,1,Vancouver,Vancouver,vancouver,49.261111,-123.113889,town,community centroid
bus:rider-calgary,2,Surrey,Surrey,surrey,49.191634,-122.850061,town,community centroid
bus:rider-calgary,3,Abbotsford,Abbotsford,abbotsford,49.049808,-122.284595,town,community centroid
bus:rider-calgary,4,Chilliwack,Chilliwack,chilliwack,49.157778,-121.950833,town,community centroid
bus:rider-calgary,5,Hope,Hope,hope,49.38,-121.441389,town,community centroid
bus:rider-calgary,6,Merritt,Merritt,merritt,50.1125,-120.788333,town,community centroid
bus:rider-calgary,7,Kamloops,Kamloops,kamloops,50.675833,-120.339444,town,community centroid
bus:rider-calgary,8,Chase,Chase,chase,50.819167,-119.686111,town,community centroid
bus:rider-calgary,9,Sorrento,Sorrento,sorrento,50.876944,-119.466944,town,community centroid
bus:rider-calgary,10,Salmon Arm,Salmon Arm,salmon-arm,50.699846,-119.267891,town,community centroid
bus:rider-calgary,11,Sicamous,Sicamous,sicamous,50.836111,-118.98,town,community centroid
bus:rider-calgary,12,Revelstoke,Revelstoke,revelstoke,50.998175,-118.19605,town,community centroid
bus:rider-calgary,13,Golden,Golden,golden,51.297778,-116.964722,town,community centroid
bus:rider-calgary,14,Field,Field,field,51.395833,-116.488333,town,community centroid
bus:rider-calgary,15,Lake Louise AB,Lake Louise AB,lake-louise-ab,51.4254,-116.1773,town,stop
bus:rider-calgary,16,Banff AB,Banff AB,banff-ab,51.1784,-115.5708,town,stop
bus:rider-calgary,17,Canmore AB,Canmore AB,canmore-ab,51.0899,-115.3592,town,stop
bus:rider-calgary,18,Calgary AB,Calgary AB,calgary-ab,51.0447,-114.0719,town,stop
carpool:pop-hwy4,1,Nanaimo,Nanaimo,nanaimo,49.163889,-123.938056,town,stop
carpool:pop-hwy4,2,Port Alberni,Port Alberni,port-alberni,49.2339,-124.8055,town,stop
carpool:pop-hwy4,3,Ucluelet,Ucluelet,ucluelet,48.942778,-125.546111,town,community centroid
carpool:pop-hwy4,4,Tofino,Tofino,1st-street,49.1535,-125.9013,town,stop
carpool:pop-island1,1,Victoria,Victoria,victoria,48.42771,-123.36446,town,stop
carpool:pop-island1,2,Duncan,Duncan,duncan,48.77465,-123.7016,town,stop
carpool:pop-island1,3,Nanaimo,Nanaimo,nanaimo,49.163889,-123.938056,town,stop
carpool:pop-island19,1,Nanaimo,Nanaimo,nanaimo,49.163889,-123.938056,town,stop
carpool:pop-island19,2,Courtenay,Courtenay,courtenay-exchange,49.6919376,-124.998225,town,stop
carpool:pop-sea2sky,1,Vancouver,Vancouver,vancouver,49.261111,-123.113889,town,community centroid
carpool:pop-sea2sky,2,Squamish,Squamish,squamish,49.7387,-123.1333,town,stop
carpool:pop-sea2sky,3,Whistler,Whistler,whistler,50.1158,-122.9563,town,stop
ferry:1,1,Tsawwassen,Tsawwassen (Metro Vancouver),tsawwassen,49.008056,-123.128333,town,community centroid
ferry:1,2,Swartz Bay,Victoria (Vancouver Island),swartz-bay,48.6886,-123.4114,dock,stop
ferry:10,1,Bear Cove,Port Hardy (Vancouver Island),bear-cove,50.7256,-127.4556,dock,stop
ferry:10,2,Prince Rupert,Prince Rupert (North Coast),prince-rupert,54.312778,-130.325278,town,community centroid
ferry:11,1,Prince Rupert,Prince Rupert (North Coast),prince-rupert,54.312778,-130.325278,town,community centroid
ferry:11,2,Skidegate,Skidegate (Graham Island),skidegate,53.266379,-131.991971,town,community centroid
ferry:12,1,Brentwood Bay,Brentwood Bay (Vancouver Island),brentwood-bay,48.572537,-123.451469,town,community centroid
ferry:12,2,Mill Bay,Mill Bay (Vancouver Island),mill-bay,48.6513,-123.5617,town,stop
ferry:17,1,Westview,Powell River (Sunshine Coast),westview,49.8371,-124.5289,dock,stop
ferry:17,2,Little River,Comox (Vancouver Island),little-river,49.7402,-124.925,dock,stop
ferry:18,1,Westview,Powell River (Sunshine Coast),westview,49.8371,-124.5289,dock,stop
ferry:18,2,Blubber Bay,Texada Island,blubber-bay,49.7948,-124.6204,dock,stop
ferry:19,1,Nanaimo Harbour,Nanaimo (Vancouver Island),nanaimo-harbour,49.1661,-123.9307,dock,stop
ferry:19,2,Descanso Bay,Gabriola Island,descanso-bay,49.1778,-123.8584,dock,stop
ferry:2,1,Horseshoe Bay,West Vancouver (Metro Vancouver),horseshoe-bay,49.37105,-123.280676,town,community centroid
ferry:2,2,Departure Bay,Nanaimo (Vancouver Island),departure-bay,49.1917,-123.9538,dock,stop
