from_community,from_id,to_community,to_id,crow_km,bike_reachable,bike_reachable_without_flying,n_options,n_options_with_bike,n_options_without_flying,boardings,modes,operators,journey_km,schedule_cautions,everyday_option_exists,recommended_summary,recommended_boardings,recommended_modes,recommended_operators,recommended_journey_km,recommended_schedule_cautions
Mayne Island,mayne-island,Clearwater,clearwater,390,TRUE,TRUE,5,5,4,5,ferry; local-bus; skytrain; bus; local-bus,BC Ferries; TransLink; Ebus; BC Transit,,limited,FALSE,"Ferry, city bus, SkyTrain, coach bus, then city bus.",5,ferry; local-bus; skytrain; bus; local-bus,BC Ferries; TransLink; Ebus; BC Transit,,limited
Mayne Island,mayne-island,Comox,comox,148,TRUE,TRUE,6,4,1,6,ferry; local-bus; skytrain; ferry; carpool; local-bus,BC Ferries; TransLink; Hullo; Poparide; BC Transit,,on-demand,FALSE,"Ferry, city bus, city bus, city bus, city bus, then rental car.",6,ferry; local-bus; local-bus; local-bus; local-bus; rental-car,BC Ferries; BC Transit; National Car & Truck Rental (Vancouver Island),248.6,
Mayne Island,mayne-island,Coquitlam,coquitlam,62,TRUE,TRUE,4,4,3,3,ferry; local-bus; skytrain,BC Ferries; TransLink,,,TRUE,"Ferry, city bus, then SkyTrain.",3,ferry; local-bus; skytrain,BC Ferries; TransLink,,
Mayne Island,mayne-island,Cortes Island,cortes-island,181,TRUE,FALSE,8,6,0,,,,,,,"Ferry, city bus, city bus, city bus, rental car, then water taxi.",6,ferry; local-bus; local-bus; local-bus; rental-car; water-taxi,BC Ferries; BC Transit; Budget; Qaya Way West Transportation,304.7,seasonal
Mayne Island,mayne-island,Courtenay (Comox Valley),courtenay,148,TRUE,TRUE,10,6,3,5,ferry; local-bus; skytrain; ferry; carpool,BC Ferries; TransLink; Hullo; Poparide,,on-demand,FALSE,"Ferry, city bus, city bus, city bus, then carpool.",5,ferry; local-bus; local-bus; local-bus; carpool,BC Ferries; BC Transit; Poparide,252.3,on-demand
Mayne Island,mayne-island,Cranbrook,cranbrook,555,TRUE,TRUE,5,5,4,5,ferry; local-bus; skytrain; bus; bus,BC Ferries; TransLink; Mountain Man Mike's,,limited,FALSE,"Ferry, city bus, SkyTrain, coach bus, then coach bus.",5,ferry; local-bus; skytrain; bus; bus,BC Ferries; TransLink; Mountain Man Mike's,,limited
Mayne Island,mayne-island,Creston,creston,498,TRUE,TRUE,5,5,4,5,ferry; local-bus; skytrain; bus; bus,BC Ferries; TransLink; Mountain Man Mike's,,limited,FALSE,"Ferry, city bus, SkyTrain, coach bus, then coach bus.",5,ferry; local-bus; skytrain; bus; bus,BC Ferries; TransLink; Mountain Man Mike's,,limited
Mayne Island,mayne-island,Cumberland,cumberland,151,TRUE,TRUE,9,5,3,6,ferry; local-bus; skytrain; ferry; carpool; local-bus,BC Ferries; TransLink; Hullo; Poparide; BC Transit,,on-demand,FALSE,"Ferry, city bus, city bus, city bus, carpool, then city bus.",6,ferry; local-bus; local-bus; local-bus; carpool; local-bus,BC Ferries; BC Transit; Poparide,256.2,on-demand
Mayne Island,mayne-island,Delta,delta,33,TRUE,TRUE,2,2,2,1,ferry,BC Ferries,41.4,,TRUE,One ferry does it.,1,ferry,BC Ferries,41.4,
Mayne Island,mayne-island,Denman Island,denman-island,133,TRUE,TRUE,8,4,3,7,ferry; local-bus; skytrain; ferry; carpool; local-bus; ferry,BC Ferries; TransLink; Hullo; Poparide; BC Transit,,on-demand,FALSE,"Ferry, city bus, city bus, city bus, carpool, city bus, then ferry.",7,ferry; local-bus; local-bus; local-bus; carpool; local-bus; ferry,BC Ferries; BC Transit; Poparide,269.9,on-demand
